,Region name,Object count
434,"Cortical amygdalar area, posterior part, lateral zone, layers 1-2",0
435,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3",0
436,"Cortical amygdalar area, posterior part, lateral zone, layer 1",0
437,"Cortical amygdalar area, posterior part, lateral zone, layer 2",0
438,"Cortical amygdalar area, posterior part, lateral zone, layer 3",0
439,"Cortical amygdalar area, posterior part, medial zone",0
440,"Cortical amygdalar area, posterior part, medial zone, layers 1-2",0
441,"Cortical amygdalar area, posterior part, medial zone, layers 1-3",0
442,"Cortical amygdalar area, posterior part, medial zone, layer 1",0
443,"Cortical amygdalar area, posterior part, medial zone, layer 2",0
444,"Cortical amygdalar area, posterior part, medial zone, layer 3",0
445,Piriform-amygdalar area,0
446,"Piriform-amygdalar area, layers 1-3",0
447,"Piriform-amygdalar area, molecular layer",0
448,"Piriform-amygdalar area, pyramidal layer",0
449,"Piriform-amygdalar area, polymorph layer",0
450,Postpiriform transition area,0
451,"Postpiriform transition area, layers 1-3",0
452,"Postpiriform transition area, layers 1",0
453,"Postpiriform transition area, layers 2",0
454,"Postpiriform transition area, layers 3",0
455,Hippocampal formation,0
456,Hippocampal region,0
457,Ammon's horn,0
458,Field CA1,0
459,"Field CA1, stratum lacunosum-moleculare",0
460,"Field CA1, stratum oriens",0
461,"Field CA1, pyramidal layer",0
462,"Field CA1, stratum radiatum",0
463,Field CA2,0
464,"Field CA2, stratum lacunosum-moleculare",0
465,"Field CA2, stratum oriens",0
466,"Field CA2, pyramidal layer",0
467,"Field CA2, stratum radiatum",0
468,Field CA3,0
469,"Field CA3, stratum lacunosum-moleculare",0
470,"Field CA3, stratum lucidum",0
471,"Field CA3, stratum oriens",0
472,"Field CA3, pyramidal layer",0
473,"Field CA3, stratum radiatum",0
474,Dentate gyrus,0
475,"Dentate gyrus, molecular layer",0
476,"Dentate gyrus, polymorph layer",0
477,"Dentate gyrus, granule cell layer",0
478,"Dentate gyrus, subgranular zone",0
479,Dentate gyrus crest,0
480,"Dentate gyrus crest, molecular layer",0
481,"Dentate gyrus crest, polymorph layer",0
482,"Dentate gyrus crest, granule cell layer",0
483,Dentate gyrus lateral blade,0
484,"Dentate gyrus lateral blade, molecular layer",0
485,"Dentate gyrus lateral blade, polymorph layer",0
486,"Dentate gyrus lateral blade, granule cell layer",0
487,Dentate gyrus medial blade,0
488,"Dentate gyrus medial blade, molecular layer",0
489,"Dentate gyrus medial blade, polymorph layer",0
490,"Dentate gyrus medial blade, granule cell layer",0
491,Fasciola cinerea,0
492,Induseum griseum,0
493,Retrohippocampal region,0
494,Entorhinal area,0
495,"Entorhinal area, lateral part",0
496,"Entorhinal area, lateral part, layer 1",0
497,"Entorhinal area, lateral part, layer 2",0
498,"Entorhinal area, lateral part, layer 2/3",0
499,"Entorhinal area, lateral part, layer 2a",0
500,"Entorhinal area, lateral part, layer 2b",0
501,"Entorhinal area, lateral part, layer 3",0
502,"Entorhinal area, lateral part, layer 4",0
503,"Entorhinal area, lateral part, layer 4/5",0
504,"Entorhinal area, lateral part, layer 5",0
505,"Entorhinal area, lateral part, layer 5/6",0
506,"Entorhinal area, lateral part, layer 6a",0
507,"Entorhinal area, lateral part, layer 6b",0
508,"Entorhinal area, medial part, dorsal zone",0
509,"Entorhinal area, medial part, dorsal zone, layer 1",0
510,"Entorhinal area, medial part, dorsal zone, layer 2",0
511,"Entorhinal area, medial part, dorsal zone, layer 2a",0
512,"Entorhinal area, medial part, dorsal zone, layer 2b",0
513,"Entorhinal area, medial part, dorsal zone, layer 3",0
514,"Entorhinal area, medial part, dorsal zone, layer 4",0
515,"Entorhinal area, medial part, dorsal zone, layer 5",0
516,"Entorhinal area, medial part, dorsal zone, layer 5/6",0
517,"Entorhinal area, medial part, dorsal zone, layer 6",0
518,"Entorhinal area, medial part, ventral zone",0
519,"Entorhinal area, medial part, ventral zone, layer 1",0
520,"Entorhinal area, medial part, ventral zone, layer 2",0
521,"Entorhinal area, medial part, ventral zone, layer 3",0
522,"Entorhinal area, medial part, ventral zone, layer 4",0
523,"Entorhinal area, medial part, ventral zone, layer 5/6",0
524,Parasubiculum,0
525,"Parasubiculum, layer 1",0
526,"Parasubiculum, layer 2",0
527,"Parasubiculum, layer 3",0
528,Postsubiculum,0
529,"Postsubiculum, layer 1",0
530,"Postsubiculum, layer 2",0
531,"Postsubiculum, layer 3",0
532,Presubiculum,0
533,"Presubiculum, layer 1",0
534,"Presubiculum, layer 2",0
535,"Presubiculum, layer 3",0
536,Subiculum,0
537,"Subiculum, dorsal part",0
538,"Subiculum, dorsal part, molecular layer",0
539,"Subiculum, dorsal part, pyramidal layer",0
540,"Subiculum, dorsal part, stratum radiatum",0
541,"Subiculum, ventral part",0
542,"Subiculum, ventral part, molecular layer",0
543,"Subiculum, ventral part, pyramidal layer",0
544,"Subiculum, ventral part, stratum radiatum",0
545,Prosubiculum,0
546,"Prosubiculum, dorsal part",0
547,"Prosubiculum, dorsal part, molecular layer",0
548,"Prosubiculum, dorsal part, pyramidal layer",0
549,"Prosubiculum, dorsal part, stratum radiatum",0
550,"Prosubiculum, ventral part",0
551,"Prosubiculum, ventral part, molecular layer",0
552,"Prosubiculum, ventral part, pyramidal layer",0
553,"Prosubiculum, ventral part, stratum radiatum",0
554,Hippocampo-amygdalar transition area,0
555,Area prostriata,0
556,Cortical subplate,0
557,"Layer 6b, isocortex",0
558,Claustrum,0
559,Endopiriform nucleus,0
560,"Endopiriform nucleus, dorsal part",0
561,"Endopiriform nucleus, ventral part",0
562,Lateral amygdalar nucleus,0
563,Basolateral amygdalar nucleus,0
564,"Basolateral amygdalar nucleus, anterior part",0
565,"Basolateral amygdalar nucleus, posterior part",0
566,"Basolateral amygdalar nucleus, ventral part",0
567,Basomedial amygdalar nucleus,0
568,"Basomedial amygdalar nucleus, anterior part",0
569,"Basomedial amygdalar nucleus, posterior part",0
570,Posterior amygdalar nucleus,0
571,Cerebral nuclei,0
572,Striatum,0
573,Striatum dorsal region,0
574,Caudoputamen,0
575,Striatum ventral region,0
576,Nucleus accumbens,0
577,Fundus of striatum,0
578,Olfactory tubercle,0
579,Islands of Calleja,0
580,Major island of Calleja,0
581,"Olfactory tubercle, layers 1-3",0
582,"Olfactory tubercle, molecular layer",0
583,"Olfactory tubercle, pyramidal layer",0
584,"Olfactory tubercle, polymorph layer",0
585,Lateral strip of striatum,0
586,Lateral septal complex,0
587,Lateral septal nucleus,0
588,"Lateral septal nucleus, caudal (caudodorsal) part",0
589,"Lateral septal nucleus, rostral (rostroventral) part",0
590,"Lateral septal nucleus, ventral part",0
591,Septofimbrial nucleus,0
592,Septohippocampal nucleus,0
593,Striatum-like amygdalar nuclei,0
594,Anterior amygdalar area,0
595,Bed nucleus of the accessory olfactory tract,0
596,Central amygdalar nucleus,0
597,"Central amygdalar nucleus, capsular part",0
598,"Central amygdalar nucleus, lateral part",0
599,"Central amygdalar nucleus, medial part",0
600,Intercalated amygdalar nucleus,0
601,Medial amygdalar nucleus,0
602,"Medial amygdalar nucleus, anterodorsal part",0
603,"Medial amygdalar nucleus, anteroventral part",0
604,"Medial amygdalar nucleus, posterodorsal part",0
605,"Medial amygdalar nucleus, posterodorsal part, sublayer a",0
606,"Medial amygdalar nucleus, posterodorsal part, sublayer b",0
607,"Medial amygdalar nucleus, posterodorsal part, sublayer c",0
608,"Medial amygdalar nucleus, posteroventral part",0
609,Pallidum,0
610,"Pallidum, dorsal region",0
611,"Globus pallidus, external segment",0
612,"Globus pallidus, internal segment",0
613,"Pallidum, ventral region",0
614,Substantia innominata,0
615,Magnocellular nucleus,0
616,"Pallidum, medial region",0
617,Medial septal complex,0
618,Medial septal nucleus,0
619,Diagonal band nucleus,0
620,Triangular nucleus of septum,0
621,"Pallidum, caudal region",0
622,Bed nuclei of the stria terminalis,0
623,"Bed nuclei of the stria terminalis, anterior division",0
624,"Bed nuclei of the stria terminalis, anterior division, anterolateral area",0
625,"Bed nuclei of the stria terminalis, anterior division, anteromedial area",0
626,"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",0
627,"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",0
628,"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",0
629,"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",0
630,"Bed nuclei of the stria terminalis, anterior division, oval nucleus",0
631,"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",0
632,"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",0
633,"Bed nuclei of the stria terminalis, posterior division",0
634,"Bed nuclei of the stria terminalis, posterior division, dorsal nucleus",0
635,"Bed nuclei of the stria terminalis, posterior division, principal nucleus",0
636,"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",0
637,"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",0
638,"Bed nuclei of the stria terminalis, posterior division, strial extension",0
639,Bed nucleus of the anterior commissure,0
640,Brain stem,0
641,Interbrain,0
642,Thalamus,0
643,"Thalamus, sensory-motor cortex related",0
644,Ventral group of the dorsal thalamus,0
645,Ventral anterior-lateral complex of the thalamus,0
646,Ventral medial nucleus of the thalamus,0
647,Ventral posterior complex of the thalamus,0
648,Ventral posterolateral nucleus of the thalamus,0
649,"Ventral posterolateral nucleus of the thalamus, parvicellular part",0
650,Ventral posteromedial nucleus of the thalamus,0
651,"Ventral posteromedial nucleus of the thalamus, parvicellular part",0
652,Posterior triangular thalamic nucleus,0
653,Subparafascicular nucleus,0
654,"Subparafascicular nucleus, magnocellular part",0
655,"Subparafascicular nucleus, parvicellular part",0
656,Subparafascicular area,0
657,Peripeduncular nucleus,0
658,"Geniculate group, dorsal thalamus",0
659,Medial geniculate complex,0
660,"Medial geniculate complex, dorsal part",0
661,"Medial geniculate complex, ventral part",0
662,"Medial geniculate complex, medial part",0
663,Dorsal part of the lateral geniculate complex,0
664,"Dorsal part of the lateral geniculate complex, shell",0
665,"Dorsal part of the lateral geniculate complex, core",0
666,"Dorsal part of the lateral geniculate complex, ipsilateral zone",0
667,"Thalamus, polymodal association cortex related",0
668,Lateral group of the dorsal thalamus,0
669,Lateral posterior nucleus of the thalamus,0
670,Posterior complex of the thalamus,0
